Node Number	x	y	z	Deformation
56795	-0.333	100.627	3.76E-16	-2.51E-05
56796	-0.166	100.627	3.84E-16	-1.70E-05
56797	-0.333	99.149	3.76E-16	-2.69E-05
56798	-0.166	99.149	3.84E-16	-1.88E-05
56799	-0.333	97.64	3.76E-16	-2.85E-05
56800	-0.166	97.64	3.84E-16	-2.03E-05
56801	-0.333	96.1	3.76E-16	-3.00E-05
56802	-0.166	96.1	3.84E-16	-2.18E-05
56803	-0.333	94.528	3.76E-16	-3.12E-05
56804	-0.166	94.528	3.84E-16	-2.31E-05
56805	-0.333	92.924	3.76E-16	-3.23E-05
56806	-0.166	92.924	3.84E-16	-2.42E-05
56807	-0.333	91.287	3.76E-16	-3.32E-05
56808	-0.166	91.287	3.84E-16	-2.51E-05
56809	-0.333	89.616	3.76E-16	-3.40E-05
56810	-0.166	89.616	3.84E-16	-2.58E-05
56811	-0.333	87.911	3.76E-16	-3.46E-05
56812	-0.166	87.911	3.84E-16	-2.64E-05
56813	-0.333	86.171	3.76E-16	-3.50E-05
56814	-0.166	86.171	3.84E-16	-2.69E-05
56815	-0.333	84.395	3.76E-16	-3.53E-05
56816	-0.166	84.395	3.84E-16	-2.72E-05
56817	-0.333	82.583	3.76E-16	-3.55E-05
56818	-0.166	82.583	3.84E-16	-2.73E-05
56819	-0.333	80.733	3.76E-16	-3.55E-05
56820	-0.166	80.733	3.84E-16	-2.73E-05
